Country,Cancer Type,Year,Total Deaths
UK,Lung Cancer,2018,144680
Canada,Liver Cancer,2020,12669
Germany,Colon Cancer,2019,65190
UK,Prostate Cancer,2018,75653
Germany,Liver Cancer,2020,94257
Brazil,Prostate Cancer,2019,60306
USA,Breast Cancer,2023,69798
UK,Lung Cancer,2018,88727
Canada,Lung Cancer,2018,115249
Canada,Liver Cancer,2020,96857
UK,Liver Cancer,2018,98191
Australia,Colon Cancer,2019,55720
France,Colon Cancer,2022,13332
Canada,Colon Cancer,2023,26336
Japan,Lung Cancer,2018,124334
USA,Colon Cancer,2022,58679
Germany,Liver Cancer,2018,132846
Brazil,Colon Cancer,2018,143084
UK,Prostate Cancer,2019,47630
USA,Lung Cancer,2023,69128
USA,Lung Cancer,2018,79215
Germany,Liver Cancer,2018,23783
Canada,Prostate Cancer,2019,115777
USA,Breast Cancer,2023,52887
Brazil,Breast Cancer,2023,28737
China,Breast Cancer,2023,139124
India,Liver Cancer,2018,115718
Japan,Breast Cancer,2022,86941
Brazil,Breast Cancer,2020,98992
Canada,Prostate Cancer,2023,25316
Japan,Colon Cancer,2023,67605
France,Colon Cancer,2023,98251
Brazil,Lung Cancer,2020,54061
Germany,Prostate Cancer,2020,114978
China,Liver Cancer,2020,87896
USA,Prostate Cancer,2021,130122
UK,Breast Cancer,2021,133429
Brazil,Colon Cancer,2019,144216
India,Breast Cancer,2023,21740
China,Prostate Cancer,2022,73488
Germany,Prostate Cancer,2021,133756
USA,Liver Cancer,2018,12865
UK,Liver Cancer,2022,47078
UK,Breast Cancer,2021,123159
Australia,Colon Cancer,2021,114022
UK,Lung Cancer,2020,22793
UK,Breast Cancer,2018,121899
Japan,Liver Cancer,2019,29320
China,Liver Cancer,2023,42218
USA,Colon Cancer,2022,42138
India,Liver Cancer,2021,144012
India,Breast Cancer,2021,109000
China,Prostate Cancer,2022,92435
Germany,Colon Cancer,2020,140040
USA,Prostate Cancer,2020,38582
France,Prostate Cancer,2018,19178
India,Liver Cancer,2023,134168
China,Prostate Cancer,2019,6095
Australia,Breast Cancer,2019,104504
Germany,Breast Cancer,2020,73633
France,Colon Cancer,2019,122807
Germany,Prostate Cancer,2019,85295
Australia,Colon Cancer,2021,83252
France,Prostate Cancer,2020,110339
Canada,Colon Cancer,2018,107158
Brazil,Prostate Cancer,2021,92348
UK,Lung Cancer,2022,110900
France,Prostate Cancer,2023,96691
India,Liver Cancer,2018,86797
Germany,Liver Cancer,2022,93550
Brazil,Liver Cancer,2022,42545
India,Prostate Cancer,2018,147808
Japan,Liver Cancer,2023,69038
India,Lung Cancer,2023,23438
Australia,Liver Cancer,2020,128384
Japan,Prostate Cancer,2021,41580
Canada,Liver Cancer,2019,16694
Australia,Liver Cancer,2018,16798
UK,Lung Cancer,2018,82495
USA,Lung Cancer,2023,48571
China,Lung Cancer,2022,63423
Canada,Colon Cancer,2019,35310
India,Breast Cancer,2023,142141
Canada,Breast Cancer,2019,90605
China,Prostate Cancer,2019,93955
Germany,Prostate Cancer,2023,95280
Germany,Prostate Cancer,2023,75363
USA,Liver Cancer,2019,95248
China,Lung Cancer,2023,16150
Canada,Colon Cancer,2022,103521
Canada,Liver Cancer,2019,18372
USA,Prostate Cancer,2021,102299
India,Lung Cancer,2019,24785
Australia,Lung Cancer,2019,30274
China,Prostate Cancer,2019,144846
India,Colon Cancer,2019,43047
UK,Breast Cancer,2022,54457
Germany,Lung Cancer,2020,33584
Japan,Breast Cancer,2021,5096
USA,Breast Cancer,2020,35566
Germany,Prostate Cancer,2020,64323
USA,Breast Cancer,2023,89472
China,Breast Cancer,2023,127635
Germany,Colon Cancer,2018,123479
China,Liver Cancer,2021,124268
France,Breast Cancer,2021,120265
India,Colon Cancer,2021,6357
Canada,Liver Cancer,2023,113779
Brazil,Liver Cancer,2021,32930
USA,Liver Cancer,2022,94918
Canada,Colon Cancer,2018,77863
UK,Lung Cancer,2018,21637
USA,Colon Cancer,2019,99801
Canada,Prostate Cancer,2021,20101
USA,Colon Cancer,2021,6949
Brazil,Prostate Cancer,2022,19517
France,Liver Cancer,2023,78259
Brazil,Lung Cancer,2019,67544
Brazil,Lung Cancer,2019,86818
USA,Colon Cancer,2022,80802
Australia,Liver Cancer,2022,106802
China,Lung Cancer,2018,72227
India,Lung Cancer,2019,13244
France,Colon Cancer,2022,17411
Brazil,Lung Cancer,2021,141317
Germany,Colon Cancer,2023,148320
Canada,Breast Cancer,2023,124173
Germany,Colon Cancer,2021,148593
Japan,Prostate Cancer,2018,111680
India,Colon Cancer,2021,26738
USA,Liver Cancer,2022,8271
Japan,Liver Cancer,2023,25610
France,Liver Cancer,2018,83416
Canada,Prostate Cancer,2019,35152
China,Colon Cancer,2019,8534
Brazil,Liver Cancer,2023,71250
UK,Lung Cancer,2023,87810
UK,Breast Cancer,2019,29080
UK,Lung Cancer,2018,135402
UK,Prostate Cancer,2020,44235
USA,Liver Cancer,2021,25432
UK,Prostate Cancer,2018,70191
India,Breast Cancer,2023,147896
Canada,Colon Cancer,2021,53933
Canada,Breast Cancer,2020,47860
UK,Breast Cancer,2022,141120
France,Liver Cancer,2023,98773
Germany,Liver Cancer,2022,70867
Brazil,Colon Cancer,2018,126113
China,Liver Cancer,2018,20454
UK,Breast Cancer,2019,73790
Canada,Lung Cancer,2021,80706
Japan,Lung Cancer,2019,140591
Germany,Breast Cancer,2019,77392
Japan,Breast Cancer,2022,19394
Brazil,Liver Cancer,2022,105223
USA,Breast Cancer,2018,5569
Canada,Liver Cancer,2020,119126
USA,Liver Cancer,2019,142846
USA,Colon Cancer,2022,78383
Germany,Breast Cancer,2023,122931
China,Liver Cancer,2020,89610
Canada,Colon Cancer,2022,43196
Canada,Colon Cancer,2023,16514
USA,Breast Cancer,2022,6407
Australia,Prostate Cancer,2023,56136
Canada,Liver Cancer,2020,52466
Canada,Lung Cancer,2019,98249
Japan,Colon Cancer,2023,143822
Japan,Liver Cancer,2023,101011
Germany,Liver Cancer,2018,20068
Brazil,Lung Cancer,2021,19868
India,Breast Cancer,2019,19699
Canada,Lung Cancer,2018,20623
Brazil,Prostate Cancer,2018,24726
Japan,Colon Cancer,2019,16363
Brazil,Breast Cancer,2022,79174
USA,Breast Cancer,2020,42354
Germany,Lung Cancer,2021,48072
Canada,Liver Cancer,2019,31877
China,Prostate Cancer,2020,130213
Brazil,Liver Cancer,2018,102645
China,Colon Cancer,2021,10560
Japan,Liver Cancer,2021,68679
Germany,Colon Cancer,2021,145357
Australia,Breast Cancer,2021,79644
China,Lung Cancer,2021,143967
China,Lung Cancer,2020,12827
China,Breast Cancer,2020,34297
UK,Prostate Cancer,2019,85055
India,Liver Cancer,2019,12963
Canada,Prostate Cancer,2019,76836
Canada,Liver Cancer,2019,85596
China,Liver Cancer,2021,117420
France,Liver Cancer,2022,117065
USA,Prostate Cancer,2021,111437
USA,Lung Cancer,2021,121411
China,Liver Cancer,2018,110738
Germany,Prostate Cancer,2018,147312
UK,Colon Cancer,2018,97971
Brazil,Breast Cancer,2018,7793
Japan,Lung Cancer,2020,50383
France,Liver Cancer,2021,87607
Japan,Breast Cancer,2022,13894
India,Lung Cancer,2019,90863
Australia,Lung Cancer,2023,116537
Brazil,Liver Cancer,2020,124360
Brazil,Liver Cancer,2019,137830
India,Colon Cancer,2021,28253
Germany,Liver Cancer,2023,112183
UK,Prostate Cancer,2018,83053
USA,Liver Cancer,2022,73736
Canada,Breast Cancer,2022,36057
Brazil,Lung Cancer,2018,10724
Brazil,Lung Cancer,2023,21809
France,Breast Cancer,2020,121815
China,Breast Cancer,2021,38933
China,Colon Cancer,2018,74060
USA,Colon Cancer,2019,42817
India,Breast Cancer,2019,15902
France,Colon Cancer,2023,127842
France,Colon Cancer,2021,5564
Brazil,Prostate Cancer,2018,75117
USA,Colon Cancer,2019,126365
France,Colon Cancer,2018,38521
India,Breast Cancer,2020,18383
France,Prostate Cancer,2020,13510
Canada,Liver Cancer,2021,28305
UK,Prostate Cancer,2023,20352
France,Liver Cancer,2022,100231
India,Lung Cancer,2020,132259
UK,Lung Cancer,2021,42711
Australia,Lung Cancer,2020,99409
France,Lung Cancer,2021,88711
UK,Colon Cancer,2021,20075
France,Prostate Cancer,2021,100471
Germany,Prostate Cancer,2023,75136
Canada,Breast Cancer,2022,111357
India,Liver Cancer,2020,58671
Brazil,Prostate Cancer,2023,127244
Germany,Lung Cancer,2022,39238
Germany,Prostate Cancer,2019,139624
France,Colon Cancer,2018,96957
France,Liver Cancer,2023,12694
France,Breast Cancer,2021,6713
Japan,Lung Cancer,2020,14382
France,Breast Cancer,2022,127527
India,Breast Cancer,2018,75992
France,Breast Cancer,2022,110419
Canada,Breast Cancer,2019,136764
India,Colon Cancer,2020,17117
France,Prostate Cancer,2020,59320
France,Breast Cancer,2022,95746
Canada,Prostate Cancer,2022,125341
Germany,Liver Cancer,2023,123641
India,Colon Cancer,2021,142565
China,Lung Cancer,2018,30092
UK,Liver Cancer,2019,85717
Canada,Breast Cancer,2021,137057
UK,Lung Cancer,2021,91261
France,Breast Cancer,2018,8980
UK,Lung Cancer,2019,48420
France,Lung Cancer,2021,25472
USA,Liver Cancer,2021,62777
Japan,Prostate Cancer,2019,117867
USA,Colon Cancer,2023,121468
Brazil,Liver Cancer,2023,38838
UK,Liver Cancer,2018,44139
Germany,Liver Cancer,2020,57416
China,Prostate Cancer,2019,45617
France,Liver Cancer,2018,98492
China,Colon Cancer,2023,100944
Japan,Liver Cancer,2019,99756
France,Colon Cancer,2021,128093
China,Colon Cancer,2022,118661
Canada,Liver Cancer,2022,122077
Canada,Colon Cancer,2021,143161
Brazil,Prostate Cancer,2021,104661
India,Liver Cancer,2022,129449
Australia,Prostate Cancer,2021,73319
USA,Prostate Cancer,2023,139566
India,Liver Cancer,2022,55019
Japan,Lung Cancer,2021,38991
Brazil,Prostate Cancer,2018,61896
Japan,Prostate Cancer,2018,123794
China,Lung Cancer,2018,147941
Brazil,Lung Cancer,2022,87712
Australia,Colon Cancer,2021,89037
Australia,Liver Cancer,2021,18716
Germany,Breast Cancer,2023,61431
Brazil,Liver Cancer,2021,22843
USA,Breast Cancer,2018,7106
USA,Colon Cancer,2018,34296
Germany,Breast Cancer,2022,105034
USA,Colon Cancer,2022,83741
USA,Prostate Cancer,2018,41383
Japan,Prostate Cancer,2022,77387
UK,Liver Cancer,2023,13947
France,Breast Cancer,2023,27283
UK,Prostate Cancer,2022,7583
China,Colon Cancer,2018,136551
UK,Lung Cancer,2023,92125
Japan,Prostate Cancer,2019,18978
Japan,Breast Cancer,2019,98444
Japan,Lung Cancer,2020,28930
India,Lung Cancer,2022,127239
Japan,Liver Cancer,2022,95047
Brazil,Lung Cancer,2019,132236
Germany,Lung Cancer,2018,125744
China,Liver Cancer,2023,58672
Brazil,Colon Cancer,2021,120150
Brazil,Liver Cancer,2020,52942
Japan,Lung Cancer,2022,9360
USA,Breast Cancer,2023,123646
China,Lung Cancer,2023,41744
Japan,Breast Cancer,2020,130191
China,Prostate Cancer,2019,112873
UK,Liver Cancer,2019,48281
USA,Liver Cancer,2020,34478
Canada,Colon Cancer,2018,38319
Brazil,Lung Cancer,2022,92265
France,Liver Cancer,2020,35283
Australia,Prostate Cancer,2020,50904
China,Colon Cancer,2021,67645
Australia,Lung Cancer,2023,84652
Brazil,Lung Cancer,2020,23197
Brazil,Liver Cancer,2021,86765
Brazil,Prostate Cancer,2022,8260
UK,Lung Cancer,2023,94432
India,Lung Cancer,2021,61257
Brazil,Liver Cancer,2021,100433
Brazil,Prostate Cancer,2019,46450
Canada,Prostate Cancer,2020,144950
China,Lung Cancer,2019,124331
Germany,Prostate Cancer,2018,136180
Australia,Prostate Cancer,2023,59756
India,Colon Cancer,2022,133941
Japan,Breast Cancer,2020,146604
France,Liver Cancer,2018,119389
Germany,Colon Cancer,2019,116244
Brazil,Colon Cancer,2022,121689
China,Prostate Cancer,2023,75988
USA,Colon Cancer,2021,111236
India,Liver Cancer,2021,146359
China,Colon Cancer,2019,132280
China,Colon Cancer,2020,82649
Germany,Liver Cancer,2020,54985
France,Liver Cancer,2019,24879
UK,Colon Cancer,2018,53084
China,Breast Cancer,2022,126262
Japan,Prostate Cancer,2021,66039
Japan,Prostate Cancer,2020,8537
Germany,Lung Cancer,2018,30865
Brazil,Breast Cancer,2019,12908
China,Colon Cancer,2021,20014
China,Prostate Cancer,2023,149994
Australia,Liver Cancer,2019,133877
India,Breast Cancer,2022,44867
Canada,Liver Cancer,2018,63737
Australia,Breast Cancer,2018,78013
China,Liver Cancer,2019,115822
UK,Lung Cancer,2018,110434
Australia,Lung Cancer,2019,15703
India,Lung Cancer,2018,135022
Australia,Liver Cancer,2019,123838
India,Liver Cancer,2021,31709
USA,Liver Cancer,2019,130961
Canada,Prostate Cancer,2021,6124
Canada,Colon Cancer,2019,53008
Brazil,Breast Cancer,2018,121847
China,Lung Cancer,2019,22054
China,Breast Cancer,2023,97342
Canada,Prostate Cancer,2023,99996
Japan,Breast Cancer,2022,85316
China,Breast Cancer,2022,9515
China,Lung Cancer,2019,35020
Brazil,Breast Cancer,2023,54081
Germany,Prostate Cancer,2020,117980
China,Liver Cancer,2020,78383
India,Lung Cancer,2023,101685
USA,Liver Cancer,2021,139207
India,Breast Cancer,2022,131702
Canada,Breast Cancer,2022,62296
India,Colon Cancer,2018,97320
UK,Lung Cancer,2021,94467
USA,Lung Cancer,2019,28204
USA,Breast Cancer,2020,147327
China,Colon Cancer,2020,38398
Australia,Colon Cancer,2021,37120
USA,Prostate Cancer,2019,141942
UK,Lung Cancer,2018,27227
Brazil,Breast Cancer,2018,24827
Canada,Lung Cancer,2023,58799
Brazil,Breast Cancer,2020,33642
Canada,Liver Cancer,2023,110548
Japan,Liver Cancer,2018,115236
China,Breast Cancer,2022,116579
India,Lung Cancer,2023,43159
India,Lung Cancer,2023,44840
China,Prostate Cancer,2020,24274
India,Breast Cancer,2022,63319
Canada,Breast Cancer,2023,136429
Canada,Liver Cancer,2020,71063
China,Prostate Cancer,2023,34096
Germany,Prostate Cancer,2022,85190
Japan,Lung Cancer,2021,80469
Germany,Lung Cancer,2018,97220
Canada,Prostate Cancer,2021,136846
USA,Prostate Cancer,2020,40529
USA,Breast Cancer,2023,22325
Brazil,Breast Cancer,2021,26356
Canada,Liver Cancer,2018,60437
Australia,Prostate Cancer,2018,116365
Germany,Breast Cancer,2021,84054
China,Breast Cancer,2018,120172
UK,Breast Cancer,2020,72426
UK,Liver Cancer,2018,140095
India,Breast Cancer,2019,122184
UK,Prostate Cancer,2019,57250
Germany,Breast Cancer,2021,23719
China,Colon Cancer,2023,71126
USA,Colon Cancer,2021,134872
Canada,Breast Cancer,2020,32762
Canada,Liver Cancer,2019,56025
Japan,Prostate Cancer,2021,92361
USA,Breast Cancer,2021,62622
Japan,Colon Cancer,2018,26965
Australia,Prostate Cancer,2023,112000
India,Prostate Cancer,2020,22028
UK,Breast Cancer,2022,74161
Australia,Colon Cancer,2022,109921
Germany,Liver Cancer,2020,24203
China,Liver Cancer,2020,131694
USA,Lung Cancer,2023,40224
Brazil,Lung Cancer,2023,124071
Brazil,Prostate Cancer,2020,5383
Japan,Liver Cancer,2019,127106
UK,Liver Cancer,2023,118311
Germany,Breast Cancer,2018,53318
Australia,Colon Cancer,2021,142783
UK,Lung Cancer,2019,138321
France,Lung Cancer,2021,98474
China,Liver Cancer,2018,12858
Canada,Prostate Cancer,2018,117351
Brazil,Colon Cancer,2019,135309
Germany,Breast Cancer,2019,131233
France,Breast Cancer,2019,127844
India,Prostate Cancer,2023,120346
USA,Lung Cancer,2022,90848
Japan,Liver Cancer,2018,75652
Australia,Breast Cancer,2023,130888
Japan,Colon Cancer,2018,68879
USA,Liver Cancer,2018,146944
UK,Breast Cancer,2020,34592
UK,Colon Cancer,2019,148650
Australia,Liver Cancer,2018,145341
France,Liver Cancer,2022,48627
Germany,Colon Cancer,2018,23346
Japan,Prostate Cancer,2018,76681
Brazil,Liver Cancer,2022,31372
India,Breast Cancer,2022,71175
Canada,Colon Cancer,2020,29712
UK,Lung Cancer,2019,36653
China,Breast Cancer,2023,58015
China,Liver Cancer,2023,110581
Germany,Prostate Cancer,2022,107257
USA,Lung Cancer,2021,149696
Australia,Lung Cancer,2018,145710
France,Liver Cancer,2018,69265
Brazil,Liver Cancer,2020,101119
UK,Liver Cancer,2023,26504
France,Breast Cancer,2020,127095
China,Colon Cancer,2023,120488
China,Lung Cancer,2023,103376
USA,Liver Cancer,2023,87374
France,Prostate Cancer,2023,58623
Germany,Prostate Cancer,2020,26965
Brazil,Prostate Cancer,2022,91641
USA,Breast Cancer,2019,123081
Canada,Colon Cancer,2020,97461
Canada,Breast Cancer,2023,66905
UK,Colon Cancer,2020,95859
France,Breast Cancer,2023,28892
Canada,Colon Cancer,2020,49953
UK,Liver Cancer,2022,77472
Japan,Liver Cancer,2018,132225
Germany,Colon Cancer,2020,67187
Brazil,Lung Cancer,2020,59290
Germany,Breast Cancer,2019,107512
China,Prostate Cancer,2021,93014
Australia,Lung Cancer,2019,81639
Japan,Liver Cancer,2022,120094
Germany,Breast Cancer,2018,75265
Canada,Breast Cancer,2022,6248
Japan,Lung Cancer,2023,137971
UK,Prostate Cancer,2018,78472
France,Breast Cancer,2020,89765
UK,Liver Cancer,2019,54766
UK,Prostate Cancer,2019,117736
USA,Prostate Cancer,2019,8407
Germany,Colon Cancer,2020,31001
China,Breast Cancer,2018,81493
France,Breast Cancer,2019,58373
Canada,Breast Cancer,2021,65134
China,Liver Cancer,2020,108976
India,Breast Cancer,2022,68275
Canada,Breast Cancer,2020,62887
Australia,Colon Cancer,2023,114763
France,Lung Cancer,2020,129396
China,Prostate Cancer,2021,39729
Germany,Prostate Cancer,2018,149809
Australia,Breast Cancer,2023,55864
Canada,Liver Cancer,2021,42381
China,Breast Cancer,2018,30513
Germany,Lung Cancer,2022,144692
Australia,Breast Cancer,2019,121421
Germany,Breast Cancer,2023,50947
Japan,Breast Cancer,2020,50399
Germany,Lung Cancer,2022,114467
China,Prostate Cancer,2022,31532
Brazil,Prostate Cancer,2018,82440
Brazil,Breast Cancer,2022,39685
Brazil,Prostate Cancer,2018,103967
India,Colon Cancer,2020,33130
Japan,Prostate Cancer,2020,46489
Brazil,Liver Cancer,2021,105579
Brazil,Prostate Cancer,2023,110969
India,Colon Cancer,2023,88640
China,Colon Cancer,2021,12662
Germany,Prostate Cancer,2022,98366
Canada,Liver Cancer,2022,141818
UK,Liver Cancer,2020,65376
India,Colon Cancer,2021,133332
Australia,Colon Cancer,2021,52414
France,Breast Cancer,2020,137403
Australia,Breast Cancer,2019,74184
Japan,Breast Cancer,2023,75381
India,Lung Cancer,2022,30991
Brazil,Liver Cancer,2023,119884
